model,fraction,train_size,test_accuracy,time
ViT Scratch,0.1,509,0.010873317224715223,752.8911747932434
ResNet50,0.1,509,0.05108733172247152,283.30695509910583
ViT Scratch,0.25,1273,0.009665170866413532,1407.1139488220215
ResNet50,0.25,1273,0.23472557818432863,25143.307305336
ViT Scratch,0.5,2547,0.021574042112530202,2556.8207261562347
ResNet50,0.5,2547,0.48740075940628236,1150.787204027176
